symptoms,disease
"I'm feeling c and shortness of breath, fatigue",Hypertension
"I have cough with phlegm, chest discomfort",Bronchitis
"persistent cough, mucus, wheezing, shortness of breath",Bronchitis
"persistent cough, mucus, wheezing, shortness of breath, fatigue",Bronchitis
"cough with phlegm, chest discomfort",Bronchitis
"Symptoms: persistent cough, mucus, wheezing",Bronchitis
"I'm feeling p and mucus, wheezing, shortness of breath",Bronchitis
I'm feeling c and chest discomfort,Bronchitis
"Symptoms: persistent cough, mucus, wheezing",Bronchitis
"I'm feeling p and mucus, wheezing, shortness of breath",Bronchitis
"I have persistent cough, mucus, wheezing, mild fever",Bronchitis
"Symptoms: persistent cough, mucus, wheezing, shortness of breath",Bronchitis
"I'm feeling c and chest discomfort, tiredness, loss of appetite",Bronchitis
"persistent cough, mucus, wheezing, shortness of breath",Bronchitis
"I'm feeling p and mucus, wheezing",Bronchitis
"persistent cough, mucus, wheezing, shortness of breath",Bronchitis
"Symptoms: cough with phlegm, chest discomfort, tiredness",Bronchitis
"I have persistent cough, mucus, wheezing, shortness of breath",Bronchitis
"I'm feeling p and mucus, wheezing, shortness of breath",Bronchitis
"cough with phlegm, chest discomfort, headache",Bronchitis
"I have persistent cough, mucus, wheezing, shortness of breath",Bronchitis
"I'm feeling p and mucus, wheezing, shortness of breath",Bronchitis
"I'm feeling p and mucus, wheezing, shortness of breath",Bronchitis
"cough with phlegm, chest discomfort, tiredness",Bronchitis
"cough with phlegm, chest discomfort",Bronchitis
"I'm feeling c and chest discomfort, tiredness",Bronchitis
I'm feeling c and chest discomfort,Bronchitis
"I'm feeling c and chest discomfort, tiredness",Bronchitis
I'm feeling c and chest discomfort,Bronchitis
"I have persistent cough, mucus, wheezing, shortness of breath",Bronchitis
"I have persistent cough, mucus, wheezing",Bronchitis
"Symptoms: cough with phlegm, chest discomfort, tiredness, fatigue",Bronchitis
"I have cough with phlegm, chest discomfort, tiredness",Bronchitis
"I'm feeling p and mucus, wheezing",Bronchitis
"persistent cough, mucus, wheezing",Bronchitis
"I'm feeling c and chest discomfort, tiredness, loss of appetite",Bronchitis
"I have persistent cough, mucus, wheezing, shortness of breath",Bronchitis
"Symptoms: persistent cough, mucus, wheezing, shortness of breath",Bronchitis
"I'm feeling c and chest discomfort, tiredness, mild fever",Bronchitis
"cough with phlegm, chest discomfort, tiredness",Bronchitis
"I'm feeling c and chest discomfort, tiredness",Bronchitis
"I'm feeling p and mucus, wheezing, shortness of breath, fatigue",Bronchitis
"Symptoms: cough with phlegm, chest discomfort, tiredness",Bronchitis
"I have cough with phlegm, chest discomfort, tiredness",Bronchitis
"I have cough with phlegm, chest discomfort, tiredness",Bronchitis
"Symptoms: cough with phlegm, chest discomfort, tiredness",Bronchitis
"I have cough with phlegm, chest discomfort, tiredness",Bronchitis
"I'm feeling c and chest discomfort, tiredness",Bronchitis
"I have cough with phlegm, chest discomfort",Bronchitis
"I have persistent cough, mucus, wheezing, shortness of breath",Bronchitis
"cough with phlegm, chest discomfort, tiredness",Bronchitis
"I have abdominal pain after meals, bloating, loss of appetite, headache",Stomach Ulcer
"I'm feeling a and bloating, loss of appetite",Stomach Ulcer
"I'm feeling b and heartburn, nausea, vomiting blood",Stomach Ulcer
"Symptoms: abdominal pain after meals, bloating, loss of appetite",Stomach Ulcer
"Symptoms: burning stomach pain, heartburn, nausea",Stomach Ulcer
"Symptoms: burning stomach pain, heartburn, nausea, vomiting blood, loss of appetite",Stomach Ulcer
"I have abdominal pain after meals, bloating, mild fever",Stomach Ulcer
"I have abdominal pain after meals, bloating, loss of appetite",Stomach Ulcer
"Symptoms: abdominal pain after meals, bloating, loss of appetite",Stomach Ulcer
"Symptoms: abdominal pain after meals, bloating, loss of appetite, mild fever",Stomach Ulcer
"I'm feeling a and bloating, loss of appetite",Stomach Ulcer
"I'm feeling a and bloating, loss of appetite",Stomach Ulcer
"abdominal pain after meals, bloating, fatigue",Stomach Ulcer
"I have abdominal pain after meals, bloating, loss of appetite",Stomach Ulcer
"Symptoms: burning stomach pain, heartburn, nausea, vomiting blood",Stomach Ulcer
"I'm feeling a and bloating, loss of appetite",Stomach Ulcer
"I'm feeling b and heartburn, nausea",Stomach Ulcer
"I'm feeling b and heartburn, nausea, vomiting blood",Stomach Ulcer
"I have abdominal pain after meals, bloating, loss of appetite",Stomach Ulcer
"abdominal pain after meals, bloating, loss of appetite",Stomach Ulcer
"Symptoms: burning stomach pain, heartburn, nausea, vomiting blood",Stomach Ulcer
"Symptoms: abdominal pain after meals, bloating, loss of appetite",Stomach Ulcer
"Symptoms: abdominal pain after meals, bloating, loss of appetite",Stomach Ulcer
"Symptoms: abdominal pain after meals, bloating, loss of appetite",Stomach Ulcer
"I have burning stomach pain, heartburn, nausea, vomiting blood",Stomach Ulcer
"I have abdominal pain after meals, bloating",Stomach Ulcer
"I'm feeling a and bloating, loss of appetite, loss of appetite",Stomach Ulcer
"I have burning stomach pain, heartburn, nausea, vomiting blood",Stomach Ulcer
"I'm feeling b and heartburn, nausea, vomiting blood, headache",Stomach Ulcer
"I'm feeling b and heartburn, nausea, vomiting blood",Stomach Ulcer
"I'm feeling b and heartburn, nausea",Stomach Ulcer
"I'm feeling a and bloating, loss of appetite",Stomach Ulcer
"I have abdominal pain after meals, bloating",Stomach Ulcer
"Symptoms: abdominal pain after meals, bloating",Stomach Ulcer
"I'm feeling b and heartburn, nausea, vomiting blood",Stomach Ulcer
"Symptoms: burning stomach pain, heartburn, nausea, vomiting blood",Stomach Ulcer
"I have burning stomach pain, heartburn, nausea, vomiting blood",Stomach Ulcer
"I have abdominal pain after meals, bloating",Stomach Ulcer
"Symptoms: abdominal pain after meals, bloating, loss of appetite, headache",Stomach Ulcer
"I have burning stomach pain, heartburn, nausea, vomiting blood",Stomach Ulcer
"Symptoms: burning stomach pain, heartburn, nausea, vomiting blood",Stomach Ulcer
"I have abdominal pain after meals, bloating, mild fever",Stomach Ulcer
"I have burning stomach pain, heartburn, nausea, vomiting blood",Stomach Ulcer
"Symptoms: abdominal pain after meals, bloating, loss of appetite",Stomach Ulcer
"I'm feeling b and heartburn, nausea",Stomach Ulcer
"I have burning stomach pain, heartburn, nausea, vomiting blood",Stomach Ulcer
"I have burning stomach pain, heartburn, nausea, vomiting blood",Stomach Ulcer
"Symptoms: abdominal pain after meals, bloating, loss of appetite",Stomach Ulcer
"I'm feeling a and bloating, loss of appetite, fatigue",Stomach Ulcer
"I'm feeling a and bloating, loss of appetite",Stomach Ulcer
